,3-Carene,CBDA,CBG,Camphene,CaryophylleneOxide,D-Limonene,Eucalyptol,Geraniol,Guaiol,Isopulegol,Label,Linalool,Myrcene,Nerolidol-1,Nerolidol-2,Ocimene,THCA,Terpinolene,TotalCBD,p-Cymene,Δ9-THC,α-Bisabolol,α-Humelene,α-Pinene,α-Terpinene,β-Caryophyllene,β-Pinene,γ-Terpinene
45,0.0,0.0,0.0,0.06,0.0,0.98,0.01,0.0,0.0,0.0,1.0,0.64,0.94,0.0,0.0,0.11,131.0,0.08,0.0,0.0,0.0,0.15,0.75,0.14,0.0,1.83,0.13,0.03
47,0.0,0.0,0.0,0.19,0.0,4.03,0.02,0.0,0.0,0.0,1.0,0.64,0.76,0.0,0.0,1.66,203.0,0.08,0.0,0.0,0.0,0.17,0.78,0.99,0.0,2.25,0.58,0.04
54,0.71,0.0,0.0,0.08,0.0,2.0,0.13,0.0,0.16,0.0,1.0,0.14,2.77,0.0,0.0,2.6,240.0,2.74,0.0,0.6,0.0,0.0,0.17,1.36,0.41,0.47,1.47,0.63
57,0.0,0.0,0.0,0.08,0.0,1.24,0.0,0.0,0.0,0.0,1.0,0.43,5.17,0.0,0.0,3.06,173.0,0.04,0.0,0.0,0.0,0.27,0.78,1.08,0.03,1.81,0.4,0.02
58,0.0,0.0,0.0,0.18,0.0,5.19,0.0,0.0,0.0,0.0,1.0,2.95,3.03,0.0,0.0,0.1,223.0,0.0,0.0,0.0,0.0,0.54,1.67,0.55,0.0,4.04,0.75,0.03
60,0.0,0.0,0.0,0.12,0.0,2.87,0.01,0.0,0.0,0.0,0.0,0.33,1.47,0.0,0.0,0.09,221.0,0.04,0.0,0.0,0.0,0.52,1.48,0.83,0.0,4.12,0.55,0.03
63,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.49,13.94,0.0,0.0,0.0,197.0,0.04,0.0,0.0,0.0,0.56,0.64,2.54,0.06,2.1,0.95,0.05
64,0.42,0.0,0.0,0.03,0.0,1.32,0.09,0.0,0.22,0.0,1.0,0.32,4.41,0.0,0.0,1.86,218.0,2.94,0.0,0.28,0.0,0.32,0.34,0.83,0.24,0.75,0.78,0.41
69,0.0,0.0,0.0,0.08,0.0,2.68,0.07,0.0,0.0,0.0,1.0,0.99,9.73,0.0,0.0,0.23,161.0,0.08,0.0,0.0,0.0,0.44,1.15,0.3,0.05,3.77,0.43,0.05
70,0.0,0.0,0.0,0.13,0.0,3.83,0.02,0.0,0.0,0.0,1.0,1.41,3.26,0.0,0.0,0.15,227.0,0.08,0.0,0.0,0.0,0.32,2.2,0.44,0.03,4.6,0.42,0.03
71,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.0,1.1,19.58,0.0,0.0,1.97,187.0,0.05,0.0,0.0,34.0,1.02,1.51,5.4,0.07,4.53,0.98,0.06
72,0.0,79.0,0.0,0.1,0.0,0.53,0.01,0.0,0.22,0.37,1.0,0.09,3.0,0.0,0.0,0.0,49.0,0.11,77.0,0.07,0.0,0.2,0.2,3.11,0.03,0.59,0.91,0.03
79,0.0,0.0,0.0,0.02,0.0,0.64,0.03,0.0,1.21,0.0,0.0,0.53,4.66,0.0,0.0,4.05,141.0,0.18,0.0,0.0,0.0,0.14,1.26,0.96,0.04,3.86,0.3,0.03
83,0.0,0.0,0.0,0.24,0.0,4.64,0.0,0.0,0.0,0.0,1.0,0.2,2.49,0.0,0.0,1.23,212.0,0.07,0.0,0.0,0.0,0.0,1.46,1.67,0.0,3.39,0.86,0.04
85,0.21,0.0,0.0,0.02,0.0,0.53,0.05,0.0,0.0,0.0,1.0,0.19,0.52,0.0,0.0,0.63,157.0,2.56,0.0,0.08,0.0,0.12,0.51,0.45,0.17,1.27,0.47,0.26
86,0.0,0.0,0.0,0.05,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.34,9.01,0.0,0.0,0.9,231.0,0.07,0.0,0.0,0.0,0.15,0.36,1.86,0.04,1.2,0.44,0.04
91,0.0,0.0,0.0,0.09,0.0,1.02,0.0,0.0,0.46,0.0,1.0,0.62,9.32,0.0,0.0,0.22,166.0,0.09,0.0,0.0,18.0,0.71,1.05,3.38,0.04,2.05,1.28,0.04
93,0.0,0.0,0.0,0.15,0.0,4.63,0.01,0.0,0.0,0.0,1.0,0.45,11.64,0.0,0.0,0.69,203.0,0.09,0.0,0.0,0.0,0.35,0.59,0.58,0.0,1.33,0.64,0.05
100,0.0,0.0,1.77,0.0,0.0,4.79,0.0,0.0,0.0,0.0,1.0,2.51,4.51,0.0,0.0,0.0,258.0,0.0,0.0,0.0,3.43,0.62,1.19,0.66,0.0,5.12,0.73,0.0
